project,class
batch-processing-gateway,com.apple.spark.operator.SparkPodSpec
batch-processing-gateway,com.apple.spark.core.ApplicationSubmissionHelper
batch-processing-gateway,com.apple.spark.api.SubmissionSummary
commons-cli,org.apache.commons.cli.HelpFormatter
commons-cli,org.apache.commons.cli.PatternOptionBuilder
commons-codec,org.apache.commons.codec.binary.Base64
commons-codec,org.apache.commons.codec.net.QuotedPrintableCodec
commons-codec,org.apache.commons.codec.binary.Base32
commons-codec,org.apache.commons.codec.language.DoubleMetaphone
commons-codec,org.apache.commons.codec.language.bm.Rule
commons-codec,org.apache.commons.codec.language.DaitchMokotoffSoundex
commons-codec,org.apache.commons.codec.language.Nysiis
commons-codec,org.apache.commons.codec.digest.MurmurHash3
commons-codec,org.apache.commons.codec.language.ColognePhonetic
commons-codec,org.apache.commons.codec.digest.Md5Crypt
commons-codec,org.apache.commons.codec.language.Metaphone
commons-codec,org.apache.commons.codec.digest.Sha2Crypt
commons-collections,org.apache.commons.collections4.map.Flat3Map
commons-collections,org.apache.commons.collections4.IteratorUtils
commons-collections,org.apache.commons.collections4.sequence.SequencesComparator
commons-collections,org.apache.commons.collections4.trie.AbstractPatriciaTrie
commons-collections,org.apache.commons.collections4.bidimap.TreeBidiMap
commons-csv,org.apache.commons.csv.Lexer
commons-csv,org.apache.commons.csv.CSVParser
commons-csv,org.apache.commons.csv.CSVFormat
datafaker,net.datafaker.transformations.sql.SqlTransformer
datafaker,net.datafaker.service.FakeValuesService
datafaker,net.datafaker.service.FakeValues
gson,com.google.gson.internal.ConstructorConstructor
gson,com.google.gson.internal.$Gson$Types
gson,com.google.gson.stream.JsonReader
gson,com.google.gson.internal.bind.JsonTreeReader
gson,com.google.gson.internal.Primitives
gson,com.google.gson.internal.LinkedTreeMap
gson,com.google.gson.internal.Excluder
gson,com.google.gson.reflect.TypeToken
gson,com.google.gson.internal.bind.ReflectiveTypeAdapterFactory
gson,com.google.gson.internal.bind.ObjectTypeAdapter
jdom2,org.jdom2.output.support.AbstractStAXStreamProcessor
jdom2,org.jdom2.StringBin
jdom2,org.jdom2.output.support.AbstractXMLOutputProcessor
jdom2,org.jdom2.input.stax.DTDParser
jdom2,org.jdom2.output.support.WalkerNORMALIZE
jdom2,org.jdom2.output.support.AbstractSAXOutputProcessor
jdom2,org.jdom2.xpath.XPathHelper
jdom2,org.jdom2.output.support.AbstractFormattedWalker
jdom2,org.jdom2.input.StAXStreamBuilder
jdom2,org.jdom2.Element
jdom2,org.jdom2.output.Format
jdom2,org.jdom2.Verifier
jdom2,org.jdom2.output.support.AbstractStAXEventProcessor
jdom2,org.jdom2.output.support.WalkerTRIM
jdom2,org.jdom2.input.sax.SAXHandler
ruler,software.amazon.event.ruler.ByteMachine
ruler,software.amazon.event.ruler.MachineComplexityEvaluator
ruler,software.amazon.event.ruler.JsonRuleCompiler
ruler,software.amazon.event.ruler.Ruler
ruler,software.amazon.event.ruler.RuleCompiler
ruler,software.amazon.event.ruler.GenericMachine
windward,org.flmelody.util.AntPathMatcher
windward,org.flmelody.core.AbstractRouterGroup
